source_file,source_model,python,python_version,summary,job_started,node,model_dir,result_dir,vllm_log,model_tag,vllm_model,dtype,enforce_eager,tool_call_parser,served_model_name,generation_config,enable_auto_tool_choice,host,architecture,max_model_len,model,fault,seed,range,output,project_dir,tau2_dir,domain,task_set,tasks,trials,max_steps,max_errors,agent,agent_model,user,user_model,save,concurrency,verbose
rollout-qwen-114821.out,qwen,,,model=Qwen/Qwen2.5-7B-Instruct; fault=clean; seed=1; range=0 -> 165; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_1,,,,,,,,,,,,,,,,,Qwen/Qwen2.5-7B-Instruct,clean,1,0 -> 165,/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_1,,,,,,,,,,,,,,,
rollout-qwen-114897.out,qwen,,,model=meta-llama/Llama-3.1-8B-Instruc; fault=clean; seed=1; range=0 -> 10; output=/gpfs/projects/imt526a/group2/agent-reliability/results/meta-llama/Llama-3.1-8B-Instruc/clean/seed_1,,,,,,,,,,,,,,,,,meta-llama/Llama-3.1-8B-Instruc,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/meta-llama/Llama-3.1-8B-Instruc/clean/seed_1,,,,,,,,,,,,,,,
rollout-llama-114913.out,llama,,,model=meta-llama/Llama-3.1-8B-Instruc; fault=clean; seed=1; range=0 -> 165; output=/gpfs/projects/imt526a/group2/agent-reliability/results/meta-llama/Llama-3.1-8B-Instruc/clean/seed_1,,,,,,,,,,,,,,,,,meta-llama/Llama-3.1-8B-Instruc,clean,1,0 -> 165,/gpfs/projects/imt526a/group2/agent-reliability/results/meta-llama/Llama-3.1-8B-Instruc/clean/seed_1,,,,,,,,,,,,,,,
rollout-qwen-114914.out,qwen,,,model=Qwen/Qwen2.5-7B-Instruct; fault=clean; seed=2; range=0 -> 165; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_2,,,,,,,,,,,,,,,,,Qwen/Qwen2.5-7B-Instruct,clean,2,0 -> 165,/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_2,,,,,,,,,,,,,,,
rollout-qwen-114955.out,qwen,,,model=mistralai/Mistral-7B-Instruct-v0.1; fault=clean; seed=2; range=0 -> 10; output=/gpfs/projects/imt526a/group2/agent-reliability/results/mistralai/Mistral-7B-Instruct-v0.1/clean/seed_2,,,,,,,,,,,,,,,,,mistralai/Mistral-7B-Instruct-v0.1,clean,2,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/mistralai/Mistral-7B-Instruct-v0.1/clean/seed_2,,,,,,,,,,,,,,,
rollout-minstral-114962.out,minstral,,,model=mistralai/Mistral-7B-Instruct-v0.1; fault=clean; seed=1; range=0 -> 10; output=/gpfs/projects/imt526a/group2/agent-reliability/results/mistralai/Mistral-7B-Instruct-v0.1/clean/seed_1,,,,,,,,,,,,,,,,,mistralai/Mistral-7B-Instruct-v0.1,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/mistralai/Mistral-7B-Instruct-v0.1/clean/seed_1,,,,,,,,,,,,,,,
rollout-minstral-114983.out,minstral,,,model=mistralai/Mistral-7B-Instruct-v0.1; fault=clean; seed=1; range=0 -> 165; output=/gpfs/projects/imt526a/group2/agent-reliability/results/mistralai/Mistral-7B-Instruct-v0.1/clean/seed_1,,,,,,,,,,,,,,,,,mistralai/Mistral-7B-Instruct-v0.1,clean,1,0 -> 165,/gpfs/projects/imt526a/group2/agent-reliability/results/mistralai/Mistral-7B-Instruct-v0.1/clean/seed_1,,,,,,,,,,,,,,,
rollout-qwen-115778.out,qwen,can't open file '/gpfs/projects/imt526a/group2/agent-reliability/repos/tau-bench/run.py': [Errno 2] No such file or directory,,model=Qwen/Qwen2.5-7B-Instruct; fault=clean; seed=1; range=0 -> 10; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_1,,,,,,,,,,,,,,,,,Qwen/Qwen2.5-7B-Instruct,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_1,,,,,,,,,,,,,,,
qwen-calib-50-115800.out,qwen-calib-50,/gpfs/projects/imt526a/group2/envLLM/bin/python,Python 3.12.13,job_started=Thu May 14 12:23:31 PDT 2026; node=g008; domain=retail; agent=llm_agent; user=user_simulator; concurrency=3; model_dir=/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct; result_dir=/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_vllm_calib_50_115800,Thu May 14 12:23:31 PDT 2026,g008,/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct,/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_vllm_calib_50_115800,/gpfs/projects/imt526a/group2/agent-reliability/logs/vllm-qwen-115800.log,,,,,,,,,,,,,,,,,/gpfs/projects/imt526a/group2/agent-reliability,/gpfs/projects/imt526a/group2/agent-reliability/repos/tau-bench,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Qwen/Qwen2.5-7B-Instruct,user_simulator,gpt-4o-mini,Not specified,3,False
vllm-qwen-115800.log,qwen,,,served_model_name=Qwen/Qwen2.5-7B-Instruct; vllm_model=/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct; architecture=Qwen2ForCausalLM; max_model_len=32768; dtype=bfloat16; tool_call_parser=hermes; enforce_eager=True,,,,,,/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct,/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct,bfloat16,True,hermes,Qwen/Qwen2.5-7B-Instruct,vllm,True,127.0.0.1,Qwen2ForCausalLM,32768,,,,,,,,,,,,,,,,,,,,
rollout-qwen-115805.out,qwen,,,model=Qwen/Qwen2.5-7B-Instruct; fault=clean; seed=1; range=0 -> 10; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_1,,,,,,,,,,,,,,,,,Qwen/Qwen2.5-7B-Instruct,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_1,,,,,,,,,,,,,,,
qwen-tau2-50-115814.out,qwen-tau2-50,/gpfs/projects/imt526a/group2/envLLM/bin/python,Python 3.12.13,domain=retail; agent=llm_agent; user=user_simulator; concurrency=3; model_dir=/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct; result_dir=/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_tau2_calib_50_115814,,,/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct,/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_tau2_calib_50_115814,/gpfs/projects/imt526a/group2/agent-reliability/logs/vllm-qwen-115814.log,,,,,,,,,,,,,,,,,/gpfs/projects/imt526a/group2/agent-reliability,/gpfs/projects/imt526a/group2/agent-reliability/repos/tau-bench,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Qwen/Qwen2.5-7B-Instruct,user_simulator,gpt-4o-mini,Not specified,3,False
vllm-qwen-115814.log,qwen,,,served_model_name=Qwen/Qwen2.5-7B-Instruct; vllm_model=/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct; architecture=Qwen2ForCausalLM; max_model_len=32768; dtype=bfloat16; tool_call_parser=hermes; enforce_eager=True,,,,,,/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct,/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct,bfloat16,True,hermes,Qwen/Qwen2.5-7B-Instruct,vllm,True,127.0.0.1,Qwen2ForCausalLM,32768,,,,,,,,,,,,,,,,,,,,
rollout-qwen-115823.out,qwen,,,model=Qwen/Qwen2.5-7B-Instruct; fault=clean; seed=1; range=0 -> 10; domain=retail; agent=llm_agent; user=user_simulator; concurrency=3; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_1,,,,,,,,,,,,,,,,,Qwen/Qwen2.5-7B-Instruct,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_1,,,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Qwen/Qwen2.5-7B-Instruct,user_simulator,gpt-4o-mini,Not specified,3,False
rollout-qwen-tau2-115835.out,qwen-tau2,,,model=Qwen/Qwen2.5-7B-Instruct; fault=clean; seed=1; range=0 -> 10; domain=retail; agent=llm_agent; user=user_simulator; concurrency=3; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_1,,,,,,,,,,,,,,,,,Qwen/Qwen2.5-7B-Instruct,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_1,,,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Qwen/Qwen2.5-7B-Instruct,user_simulator,gpt-4o-mini,Not specified,3,False
rollout-qwen-tau2-115860.out,qwen-tau2,,,model=Qwen/Qwen2.5-7B-Instruct; fault=clean; seed=1; range=0 -> 10; domain=retail; agent=llm_agent; user=user_simulator; concurrency=3; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_1,,,,,,,,,,,,,,,,,Qwen/Qwen2.5-7B-Instruct,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_1,,,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Qwen/Qwen2.5-7B-Instruct,user_simulator,gpt-4o-mini,Not specified,3,False
rollout-qwen-tau2-115889.out,qwen-tau2,,,model=Qwen/Qwen2.5-7B-Instruct; fault=clean; seed=1; range=0 -> 10; domain=retail; agent=llm_agent; user=user_simulator; concurrency=3; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_1,,,,,,,,,,,,,,,,,Qwen/Qwen2.5-7B-Instruct,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_1,,,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Qwen/Qwen2.5-7B-Instruct,user_simulator,gpt-4o-mini,Not specified,3,False
rollout-qwen-tau2-115915.out,qwen-tau2,,,model=Qwen/Qwen2.5-7B-Instruct; fault=clean; seed=1; range=0 -> 10; domain=retail; agent=llm_agent; user=user_simulator; concurrency=3; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_1,,,,,,,,,,,,,,,,,Qwen/Qwen2.5-7B-Instruct,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_1,,,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Qwen/Qwen2.5-7B-Instruct,user_simulator,o4-mini,Not specified,3,False
rollout-qwen-tau2-115917.out,qwen-tau2,,,model=Qwen/Qwen3-8B; fault=clean; seed=1; range=0 -> 10; domain=retail; agent=llm_agent; user=user_simulator; concurrency=3; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen3-8B/clean/seed_1,,,,,,,,,,,,,,,,,Qwen/Qwen3-8B,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen3-8B/clean/seed_1,,,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Qwen/Qwen2.5-7B-Instruct,user_simulator,o4-mini,Not specified,3,False
rollout-qwen-tau2-115928.out,qwen-tau2,,,model=Qwen/Qwen3-8B; fault=clean; seed=1; range=0 -> 10; domain=retail; agent=llm_agent; user=user_simulator; concurrency=3; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen3-8B/clean/seed_1,,,,,,,,,,,,,,,,,Qwen/Qwen3-8B,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen3-8B/clean/seed_1,,,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Qwen/Qwen3-8B,user_simulator,o4-mini,Not specified,3,False
rollout-qwen-tau2-115946.out,qwen-tau2,,,model=Qwen3-8B; fault=clean; seed=1; range=0 -> 10; domain=retail; agent=llm_agent; user=user_simulator; concurrency=3; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen3-8B/clean/seed_1,,,,,,,,,,,,,,,,,Qwen3-8B,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen3-8B/clean/seed_1,,,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Qwen3-8B,user_simulator,o4-mini,Not specified,3,False
rollout-qwen-tau2-115954.out,qwen-tau2,,,model=Qwen3-8B; fault=clean; seed=1; range=0 -> 10; domain=retail; agent=llm_agent; user=user_simulator; concurrency=3; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen3-8B/clean/seed_1,,,,,,,,,,,,,,,,,Qwen3-8B,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen3-8B/clean/seed_1,,,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Qwen3-8B,user_simulator,o4-mini,Not specified,3,False
rollout-llama-tau2-115958.out,llama-tau2,,,model=Llama-3.2-3B; fault=clean; seed=1; range=0 -> 10; domain=retail; agent=llm_agent; user=user_simulator; concurrency=3; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Llama-3.2-3B/clean/seed_1,,,,,,,,,,,,,,,,,Llama-3.2-3B,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Llama-3.2-3B/clean/seed_1,,,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Llama-3.2-3B,user_simulator,o4-mini,Not specified,3,False
rollout-llama-tau2-116159.out,llama-tau2,,,model=Llama-3.2-3B; fault=clean; seed=1; range=0 -> 10; domain=retail; agent=llm_agent; user=user_simulator; concurrency=3; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Llama-3.2-3B/clean/seed_1,,,,,,,,,,,,,,,,,Llama-3.2-3B,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Llama-3.2-3B/clean/seed_1,,,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Llama-3.2-3B,user_simulator,o4-mini,Not specified,3,False
rollout-llama-tau2-116165.out,llama-tau2,,,model=Llama; fault=clean; seed=1; range=0 -> 10; domain=retail; agent=llm_agent; user=user_simulator; concurrency=3; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Llama/clean/seed_1,,,,,,,,,,,,,,,,,Llama,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Llama/clean/seed_1,,,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Llama,user_simulator,o4-mini,Not specified,3,False
rollout-llama-tau2-116237.out,llama-tau2,,,model=Llama; fault=clean; seed=1; range=0 -> 10; domain=retail; agent=llm_agent; user=user_simulator; concurrency=3; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Llama/clean/seed_1,,,,,,,,,,,,,,,,,Llama,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Llama/clean/seed_1,,,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Llama,user_simulator,o4-mini,Not specified,3,False
rollout-llama-tau2-116362.out,llama-tau2,,,model=Llama; fault=clean; seed=1; range=0 -> 10; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Llama/clean/seed_1,,,,,,,,,,,,,,,,,Llama,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Llama/clean/seed_1,,,,,,,,,,,,,,,
rollout-llama-tau2-116372.out,llama-tau2,,,model=Llama; fault=clean; seed=1; range=0 -> 10; served_model_name=Llama; vllm_model=/gpfs/projects/imt526a/group2/agent-reliability/models/Llama-3.1-8B-Instruct; architecture=LlamaForCausalLM; max_model_len=16384; dtype=bfloat16; tool_call_parser=llama3_json; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Llama/clean/seed_1,,,,,,/gpfs/projects/imt526a/group2/agent-reliability/models/Llama-3.1-8B-Instruct,/gpfs/projects/imt526a/group2/agent-reliability/models/Llama-3.1-8B-Instruct,bfloat16,,llama3_json,Llama,,True,127.0.0.1,LlamaForCausalLM,16384,Llama,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Llama/clean/seed_1,,,,,,,,,,,,,,,
rollout-llama-tau2-116375.out,llama-tau2,,,model=Llama; fault=clean; seed=1; range=0 -> 10; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Llama/clean/seed_1,,,,,,,,,,,,,,,,,Llama,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Llama/clean/seed_1,,,,,,,,,,,,,,,
rollout-llama-tau2-116376.out,llama-tau2,,,model=Llama; fault=clean; seed=1; range=0 -> 10; domain=retail; agent=llm_agent; user=user_simulator; concurrency=3; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Llama/clean/seed_1,,,,,,,,,,,,,,,,,Llama,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Llama/clean/seed_1,,,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Llama,user_simulator,o4-mini,llam_retail_1_0_10,3,False
rollout-llama-tau2-116705.out,llama-tau2,,,model=Llama3; fault=clean; seed=1; range=0 -> 10; served_model_name=Llama3; vllm_model=/gpfs/projects/imt526a/group2/agent-reliability/models/Llama-3.2-3B; dtype=bfloat16; tool_call_parser=llama3_json; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Llama3/clean/seed_1,,,,,,/gpfs/projects/imt526a/group2/agent-reliability/models/Llama-3.2-3B,/gpfs/projects/imt526a/group2/agent-reliability/models/Llama-3.2-3B,bfloat16,,llama3_json,Llama3,,True,127.0.0.1,,,Llama3,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Llama3/clean/seed_1,,,,,,,,,,,,,,,
test-llama-tau2-116714.out,llama-tau2,,,model=Llama3; fault=clean; seed=1; range=0 -> 10; domain=retail; agent=llm_agent; user=user_simulator; concurrency=3; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Llama3/clean/seed_1,,,,,,,,,,,,,,,,,Llama3,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Llama3/clean/seed_1,,,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Llama3,user_simulator,o4-mini,clean/llama_retail_1_0_10_,3,False
test-llama-tau2-116726.out,llama-tau2,,,model=Llama-3.1-8B-Instruct; fault=clean; seed=1; range=0 -> 10; domain=retail; agent=llm_agent; user=user_simulator; concurrency=3; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Llama-3.1-8B-Instruct/clean/seed_1,,,,,,,,,,,,,,,,,Llama-3.1-8B-Instruct,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Llama-3.1-8B-Instruct/clean/seed_1,,,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Llama-3.1-8B-Instruct,user_simulator,o4-mini,clean/llama_retail_1_0_10_,3,False
test-llama-tau2-116727.out,llama-tau2,,,model=Llama-3.1-8B-Instruct; fault=clean; seed=1; range=0 -> 10; output=Llama-3.1-8B-Instruct/clean/seed_1_0_10_116727_,,,,,,,,,,,,,,,,,Llama-3.1-8B-Instruct,clean,1,0 -> 10,Llama-3.1-8B-Instruct/clean/seed_1_0_10_116727_,,,,,,,,,,,,,,,
test-llama-tau2-116728.out,llama-tau2,,,model=Llama-3.1-8B-Instruct; fault=clean; seed=1; range=0 -> 10; output=Llama-3.1-8B-Instruct/clean/seed_1_0_10_116728_,,,,,,,,,,,,,,,,,Llama-3.1-8B-Instruct,clean,1,0 -> 10,Llama-3.1-8B-Instruct/clean/seed_1_0_10_116728_,,,,,,,,,,,,,,,
test-llama-tau2-116729.out,llama-tau2,,,model=Llama-3.1-8B-Instruct; fault=clean; seed=1; range=0 -> 10; domain=retail; agent=llm_agent; user=user_simulator; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Llama-3.1-8B-Instruct/clean/seed_1,,,,,,,,,,,,,,,,,Llama-3.1-8B-Instruct,clean,1,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Llama-3.1-8B-Instruct/clean/seed_1,,,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Llama-3.1-8B-Instruct,user_simulator,o4-mini,,,
test-llama-tau2-116750.out,llama-tau2,,,model=Llama-3.1-8B-Instruct; fault=clean; seed=1; range=0 -> 165; domain=retail; agent=llm_agent; user=user_simulator; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Llama-3.1-8B-Instruct/clean/seed_1,,,,,,,,,,,,,,,,,Llama-3.1-8B-Instruct,clean,1,0 -> 165,/gpfs/projects/imt526a/group2/agent-reliability/results/Llama-3.1-8B-Instruct/clean/seed_1,,,retail,Default,All,1,200,10,llm_agent,hosted_vllm/Llama-3.1-8B-Instruct,user_simulator,o4-mini,,,
